timestamp,usercount,instancecount,tootscount
1542027601,1691259,1775,188963957
1542031201,1691338,1775,188983155
1542034801,1691431,1775,189001685
1542038401,1691508,1775,189021093
1542042001,1691607,1776,189036935
1542045601,1691692,1776,189049710
1542049201,1691776,1774,189059829
1542052801,1691845,1773,189069374
1542056401,1691920,1774,189078616
1542060001,1691975,1774,189090124
1542063601,1692046,1774,189103673
1542067201,1692106,1774,189118137
1542070801,1692155,1773,189130068
1542074401,1692216,1774,189141635
1542078001,1692306,1772,189153596
1542081602,1692374,1771,189167130
1542085201,1692435,1773,189182858
1542088801,1692522,1774,189196425
1542092401,1692580,1773,189208743
1542096001,1692630,1774,189220556
1542099602,1692696,1773,189234008
1542103202,1692758,1772,189249202
1542106801,1692810,1772,189266668
1542110401,1693724,1772,189565332
1542114001,1693798,1772,189585029
1542117601,1693863,1773,189604933
1542121201,1693941,1774,189626529
1542124802,1694035,1773,189645449
1542128401,1694170,1772,189662081
1542132001,1694271,1773,189675976
1542135601,1694343,1772,189688571
1542139201,1694398,1771,189699899
1542142801,1694464,1772,189711331
1542146401,1694532,1772,189723416
1542150001,1694595,1774,189738215
1542153602,1694666,1775,189752847
1542157201,1694741,1775,189765202
1542160801,1694795,1775,189777915
1542164401,1694857,1773,189789042
1542168002,1694911,1772,189804014
1542171602,1694977,1774,189818744
1542175201,1695031,1773,189830751
1542178802,1695124,1774,189842426
1542182401,1695182,1775,189854430
1542186001,1695263,1775,189868992
1542189601,1695338,1772,189874492
1542193201,1695404,1774,189890308
1542196802,1695479,1773,189907095
1542200401,1695551,1774,189926077
1542204001,1695623,1773,189945917
1542207601,1695760,1772,189968523
1542211201,1695878,1771,189989588
1542214801,1695968,1772,190006197
1542218401,1696038,1773,190022390
1542222002,1696099,1773,190034918
1542225602,1696165,1774,190046794
1542229201,1696299,1777,190060189
1542232801,1696375,1777,190072525
1542236401,1696417,1778,190085530
1542240001,1696489,1777,190099261
1542243601,1696538,1778,190111297
1542247201,1696610,1778,190123181
1542250801,1696655,1776,190135060
1542254401,1696711,1774,190144118
1542258002,1696711,1774,190144118
1542261601,1696711,1774,190144118
1542265201,1696711,1774,190144118
1542268801,1696711,1774,190144118
1542272401,1697034,1768,190212016
1542276001,1697107,1770,190227459
1542279601,1697172,1774,190243805
